iter	Passed	Remaining
887	1086	137
888	1088	135
889	1089	134
890	1091	133
891	1092	132
892	1093	131
893	1094	129
894	1096	128
895	1097	127
896	1099	126
897	1100	124
898	1101	123
899	1102	122
900	1104	121
901	1105	120
902	1107	118
903	1109	117
904	1110	116
905	1112	115
906	1114	114
907	1115	113
908	1116	111
909	1118	110
910	1119	109
911	1120	108
912	1121	106
913	1123	105
914	1124	104
915	1125	103
916	1126	101
917	1128	100
918	1129	99
919	1131	98
920	1132	97
921	1134	95
922	1135	94
923	1136	93
924	1137	92
925	1138	90
926	1139	89
927	1141	88
928	1142	87
929	1144	86
930	1145	84
931	1146	83
932	1147	82
933	1148	81
934	1149	79
935	1151	78
936	1152	77
937	1153	76
938	1155	75
939	1157	73
940	1159	72
941	1160	71
942	1161	70
943	1162	68
944	1164	67
945	1165	66
946	1166	65
947	1167	64
948	1169	62
949	1172	61
950	1173	60
951	1174	59
952	1176	58
953	1177	56
954	1178	55
955	1179	54
956	1180	53
957	1182	51
958	1183	50
959	1185	49
960	1186	48
961	1187	46
962	1189	45
963	1190	44
964	1191	43
965	1192	41
966	1193	40
967	1195	39
968	1196	38
969	1197	37
970	1198	35
971	1200	34
972	1201	33
973	1203	32
974	1204	30
975	1205	29
976	1206	28
977	1208	27
978	1209	25
979	1210	24
980	1211	23
981	1212	22
982	1214	20
983	1215	19
984	1217	18
985	1218	17
986	1220	16
987	1221	14
988	1222	13
989	1223	12
990	1224	11
991	1225	9
992	1226	8
993	1227	7
994	1229	6
995	1230	4
996	1232	3
997	1233	2
998	1234	1
999	1235	0
